,AEABSIA ID Equity
2024-01-26,0.006738562287343666
2024-01-30,0.003951060897786175
2024-01-31,0.009109066396060886
2024-02-01,0.006847340551650655
2024-02-02,0.01311329184529887
2024-02-06,0.013735831813858937
2024-02-07,-0.00036766186125111483
2024-02-08,-0.00622496691765377
2024-02-09,-0.009485449001258492
2024-02-13,-0.007580860052221724
2024-02-14,-0.007110874103121836
2024-02-15,-0.003465892411152064
2024-02-16,-0.005693432435219671
2024-02-20,-0.008560774929997069
2024-02-21,-0.008588546778433195
2024-02-22,-0.01706706748792018
2024-02-23,-0.01727525581381817
2024-02-27,-0.017177246284938198
2024-02-28,-0.018403592486007658
2024-02-29,-0.018787125475453043
2024-03-01,-0.019210458048297553
2024-03-05,-0.019274591319498706
2024-03-06,-0.019431831848008473
2024-03-07,-0.017196818303341032
2024-03-08,-0.017305468412486584
2024-03-12,-0.01614465458929917
2024-03-13,-0.00214019064813563
2024-03-14,-0.0015402580179149688
2024-03-15,0.004268430901955185
2024-03-19,0.009821988386629425
2024-03-20,0.010542504437790487
2024-03-21,0.00822948378343081
2024-03-22,0.00827849635548514
2024-03-26,0.008663245968087038
2024-03-27,0.005203117410159382
2024-03-28,0.005815331587915648
2024-04-03,0.005894561550904728
2024-04-04,0.00694337243958208
2024-04-05,0.007757848013100823
2024-04-09,0.007488596138293592
2024-04-10,0.006521824214589978
2024-04-11,0.005844422427684353
2024-04-12,0.004580446410664658
2024-04-16,0.005987303290895807
2024-04-17,0.004628482302103666
2024-04-18,0.007893509293417275
2024-04-19,0.0077248529983853014
2024-04-23,0.008326452240740773
2024-04-24,0.009581422878119672
2024-04-25,0.009650004762949043
2024-04-26,0.012064763111432467
2024-04-30,0.012689433621082798
2024-05-03,0.014332439989062251
2024-05-07,0.024772618362078246
2024-05-08,0.024563409668568296
2024-05-09,0.024572367479267405
2024-05-10,0.024358452595450216
2024-05-14,0.02453190872434755
2024-05-15,0.029349279229529488
2024-05-16,0.02954142412124297
2024-05-17,0.030557914875747272
2024-05-21,0.030603005537619653
2024-05-22,0.030732147288216743
2024-05-23,0.03073451473157415
2024-05-24,0.030722493596297973
2024-05-28,0.027820152263211054
2024-05-29,0.023127241475255546
2024-05-30,0.02350029742291375
2024-05-31,0.017821737143964626
2024-06-04,0.017510081879401018
2024-06-05,0.017282347075671247
2024-06-06,0.01858960049347241
2024-06-07,0.01926943737489421
2024-06-11,0.01926200249408585
2024-06-12,0.020211579933101045
2024-06-13,0.019390922782398463
2024-06-14,0.019251483887727093
2024-06-18,0.016834101040744738
2024-06-19,0.017284896537465524
2024-06-20,0.01769227286083528
2024-06-21,0.017422065739930135
2024-06-25,0.01624936605938368
2024-06-26,0.017256113534551275
2024-06-27,0.016466390559649283
2024-06-28,0.016492050613823323
2024-07-02,0.01735750994336949
